IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,59005,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,89,1,1,2026-09-09T18:29:43.533-06:00,2026-09-09T18:29:43.587-06:00
17,10.215.173.1,62029,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,77,1,1,2026-09-09T18:29:43.537-06:00,2026-09-09T18:29:43.589-06:00
6,10.215.173.1,43846,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3084,7,7,2026-09-09T18:29:43.594-06:00,2026-09-09T18:29:43.710-06:00
6,10.215.173.1,43852,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T18:29:43.694-06:00,2026-09-09T18:29:43.807-06:00
6,10.215.173.1,43854,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3085,7,7,2026-09-09T18:29:43.789-06:00,2026-09-09T18:29:43.900-06:00
6,10.215.173.1,43868,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3084,7,7,2026-09-09T18:29:43.880-06:00,2026-09-09T18:29:44.015-06:00
6,10.215.173.1,43872,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3045,6,6,2026-09-09T18:29:43.997-06:00,2026-09-09T18:29:44.104-06:00
6,10.215.173.1,43882,192.178.56.67,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T18:29:44.106-06:00,2026-09-09T18:29:44.215-06:00
17,10.215.173.1,50982,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,89,1,1,2026-09-09T19:29:56.379-06:00,2026-09-09T19:29:56.449-06:00
17,10.215.173.1,19693,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,77,1,1,2026-09-09T19:29:56.383-06:00,2026-09-09T19:29:56.449-06:00
6,10.215.173.1,60752,142.250.177.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3084,7,7,2026-09-09T19:29:56.453-06:00,2026-09-09T19:29:56.559-06:00
6,10.215.173.1,60766,142.250.177.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3043,6,6,2026-09-09T19:29:56.547-06:00,2026-09-09T19:29:56.658-06:00
6,10.215.173.1,60768,142.250.177.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3045,6,6,2026-09-09T19:29:56.641-06:00,2026-09-09T19:29:56.756-06:00
6,10.215.173.1,60774,142.250.177.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3085,7,7,2026-09-09T19:29:56.741-06:00,2026-09-09T19:29:57.081-06:00
6,10.215.173.1,60782,142.250.177.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3085,7,7,2026-09-09T19:29:56.837-06:00,2026-09-09T19:29:56.939-06:00
